row_id,player,year,position,school,height,weight,forty,vertical,bench,shuttle,pick_number
215,Aric Morris,2000,SS,Michigan St.,69.0,211,4.56,,24.0,,135.0
216,Chad Morton,2000,RB,USC,68.0,182,4.5,36.0,18.0,,166.0
218,Bobby Myers,2000,FS,Wisconsin,73.0,183,4.56,37.5,,4.1,124.0
219,Kaulana Noa,2000,OT,Hawaii,76.0,317,5.34,25.5,27.0,4.74,104.0
220,Dennis Northcutt,2000,WR,Arizona,70.0,175,4.43,37.5,,4.04,32.0
223,Deltha O'Neal,2000,CB,California,71.0,193,4.6,,,,15.0
226,Erik Olson,2000,SS,Colorado St.,73.0,208,4.63,35.0,17.0,4.21,236.0
227,Chad Pennington,2000,QB,Marshall,75.0,229,4.81,33.5,,4.16,18.0
228,Julian Peterson,2000,OLB,Michigan St.,77.0,231,4.68,,,,16.0
230,Mareno Philyaw,2000,WR,Troy,74.0,205,4.66,39.5,,4.13,172.0
231,Todd Pinkston,2000,WR,Southern Miss,74.0,169,4.45,,,,36.0
233,Ahmed Plummer,2000,CB,Ohio St.,71.0,191,4.43,,,,24.0
234,DaShon Polk,2000,OLB,Arizona,74.0,233,4.75,32.0,18.0,4.45,251.0
235,Jerry Porter,2000,WR,West Virginia,74.0,221,4.48,,,,47.0
236,Hank Poteat,2000,CB,Pittsburgh,70.0,197,4.57,37.0,16.0,4.0,77.0
237,Travis Prentice,2000,RB,Miami (OH),72.0,225,4.5,37.0,23.0,4.4,63.0
238,Greg Randall,2000,OT,Michigan St.,78.0,333,5.59,26.0,22.0,5.13,127.0
239,Tim Rattay,2000,QB,Louisiana Tech,72.0,215,4.91,25.5,,4.21,212.0
241,Chris Redman,2000,QB,Louisville,75.0,222,5.37,26.5,,4.78,75.0
242,J.R. Redmond,2000,RB,Arizona St.,71.0,216,4.48,32.5,,,76.0
243,Quinton Reese,2000,DE,Auburn,76.0,283,5.13,30.0,18.0,4.68,181.0
244,Tutan Reyes,2000,OT,Mississippi,75.0,299,5.37,26.5,20.0,4.88,131.0
246,Fred Robbins,2000,DT,Wake Forest,76.0,312,5.09,29.5,25.0,4.72,55.0
249,Mark Roman,2000,CB,LSU,71.0,188,4.55,,,,34.0
251,Chris Samuels,2000,OT,Alabama,77.0,325,5.08,,,,3.0
252,Lewis Sanders,2000,CB,Maryland,72.0,202,4.5,37.0,10.0,,95.0
254,Sekou Sanyika,2000,OLB,California,75.0,241,4.75,32.5,,4.38,215.0
255,Manuia Savea,2000,OG,Arizona,74.0,308,5.34,25.0,24.0,,207.0
256,Gari Scott,2000,WR,Michigan St.,72.0,194,4.59,33.5,,,99.0
257,Tony Scott,2000,CB,North Carolina St.,70.0,193,4.5,34.0,11.0,4.24,179.0
258,Richard Seals,2000,DT,Utah,74.0,316,5.13,28.5,24.0,4.6,218.0
259,Aaron Shea,2000,FB,Michigan,76.0,253,4.81,37.5,,4.3,110.0
260,Jacoby Shepherd,2000,CB,Oklahoma St.,73.0,195,4.53,35.0,5.0,,62.0
262,Wes Shivers,2000,OT,Mississippi St.,77.0,318,5.65,22.5,18.0,4.81,237.0
263,Brandon Short,2000,ILB,Penn St.,75.0,252,4.72,,,,105.0
265,Corey Simon,2000,DT,Florida St.,74.0,297,4.83,,,,6.0
266,Mark Simoneau,2000,OLB,Kansas St.,72.0,237,4.6,36.0,24.0,4.09,67.0
267,Peter Sirmon,2000,ILB,Oregon,74.0,246,4.84,34.5,20.0,4.27,128.0
268,T.J. Slaughter,2000,ILB,Southern Miss,72.0,247,4.87,30.0,24.0,4.26,92.0
272,Marvel Smith,2000,OT,Arizona St.,77.0,320,5.37,27.5,24.0,4.83,38.0
273,Paul Smith,2000,FB,Texas-El Paso,71.0,220,4.65,,25.0,,132.0
274,Robaire Smith,2000,DE,Michigan St.,76.0,275,4.88,,,,197.0
275,Terrelle Smith,2000,FB,Arizona St.,72.0,249,5.0,32.5,19.0,4.85,96.0
276,R. Jay Soward,2000,WR,USC,69.0,177,4.34,35.0,,,29.0
279,Dave Stachelski,2000,TE,Boise St.,75.0,250,4.78,38.0,24.0,4.14,141.0
280,Shyrone Stith,2000,RB,Virginia Tech,67.0,204,4.6,35.0,13.0,4.14,243.0
281,Jay Tant,2000,TE,Northwestern,75.0,255,4.75,,31.0,,164.0
282,Mark Tauscher,2000,OG,Wisconsin,75.0,318,5.37,27.0,22.0,4.84,224.0
283,Shannon Taylor,2000,OLB,Virginia,75.0,249,4.65,34.5,,,184.0
284,Travis Taylor,2000,WR,Florida,73.0,199,4.43,37.0,,,10.0
285,Adalius Thomas,2000,DE,Southern Miss,74.0,270,4.56,38.5,,4.42,186.0
286,Jason Thomas,2000,OG,South Carolina,75.0,300,5.22,29.5,23.0,,222.0
287,Michael Thompson,2000,OT,Tennessee St.,76.0,305,5.28,26.0,16.0,4.73,100.0
288,Raynoch Thompson,2000,OLB,Tennessee,75.0,220,4.65,,,,41.0
289,Travares Tillman,2000,FS,Georgia Tech,73.0,194,4.6,37.5,15.0,4.29,58.0
290,Mao Tosi,2000,DT,Idaho,77.0,310,5.26,28.5,19.0,4.6,136.0
293,Jeff Ulbrich,2000,ILB,Hawaii,72.0,249,4.65,32.0,24.0,4.3,86.0
294,Brian Urlacher,2000,OLB,New Mexico,76.0,258,4.59,34.0,27.0,4.18,9.0
295,Darrick Vaughn,2000,CB,Texas St.,71.0,196,4.53,36.5,14.0,4.16,211.0
297,Todd Wade,2000,OT,Mississippi,80.0,326,5.22,27.5,29.0,4.68,53.0
298,Darwin Walker,2000,DT,Tennessee,74.0,293,4.82,,,,71.0
300,Troy Walters,2000,WR,Stanford,66.0,171,4.55,32.5,,3.84,165.0
301,Steve Warren,2000,DT,Nebraska,73.0,307,5.1,30.5,29.0,4.56,74.0
302,Peter Warrick,2000,WR,Florida St.,71.0,194,4.58,,,,4.0
303,Jason Webster,2000,CB,Texas A&M,69.0,180,4.42,35.5,17.0,3.98,48.0
304,James Whalen,2000,TE,Kentucky,74.0,228,4.78,31.0,,4.22,157.0
305,Austin Wheatley,2000,TE,Iowa,76.0,254,4.66,32.5,,4.18,158.0
306,Damen Wheeler,2000,CB,Colorado,69.0,179,4.51,35.0,11.0,4.27,203.0
308,Dez White,2000,WR,Georgia Tech,73.0,218,4.62,37.5,,4.09,69.0
310,Michael Wiley,2000,RB,Ohio St.,71.0,193,4.5,,,,144.0
311,Bobbie Williams,2000,OT,Arkansas,76.0,332,5.26,29.0,28.0,4.72,61.0
314,James Williams,2000,WR,Marshall,71.0,180,4.59,36.0,,4.16,175.0
315,Josh Williams,2000,DT,Michigan,75.0,282,4.9,30.5,,4.25,122.0
316,Antonio Wilson,2000,OLB,Texas A&M-Commerce,74.0,245,4.56,,11.0,,106.0
317,Cedric Woodard,2000,DT,Texas,74.0,290,5.21,30.5,23.0,,191.0
319,Spergon Wynn,2000,QB,Texas St.,75.0,229,4.91,34.0,,4.59,183.0
321,Brian Young,2000,DE,Texas-El Paso,74.0,278,4.94,29.5,27.0,4.47,139.0
322,Keith Adams,2001,OLB,Clemson,71.0,219,4.82,,24.0,,232.0
323,Hakim Akbar,2001,FS,Washington,72.0,210,4.55,,,,163.0
324,Will Allen,2001,CB,Syracuse,70.0,192,4.44,39.5,14.0,3.9,22.0
327,Brian Allen,2001,OLB,Florida St.,72.0,238,4.65,,25.0,,83.0
328,Scotty Anderson,2001,WR,Grambling St.,74.0,184,4.57,34.5,,,148.0
329,Adam Archuleta,2001,SS,Arizona St.,72.0,211,4.46,,31.0,,20.0
331,Billy Baber,2001,TE,Virginia,76.0,255,4.76,33.0,22.0,4.19,141.0
332,Jeff Backus,2001,OT,Michigan,77.0,310,5.37,27.0,25.0,4.67,18.0
333,Rodney Bailey,2001,DE,Ohio St.,75.0,283,5.1,,,,181.0
335,Alex Bannister,2001,WR,East. Kentucky,77.0,201,4.47,30.5,,,140.0
336,Kevan Barlow,2001,RB,Pittsburgh,73.0,235,4.56,,,,80.0
337,Idrees Bashir,2001,FS,Memphis,74.0,206,4.56,40.0,22.0,4.2,37.0
338,Gary Baxter,2001,CB,Baylor,74.0,204,4.53,37.5,,4.21,62.0
340,Monty Beisel,2001,DE,Kansas St.,76.0,270,4.83,34.5,25.0,4.28,107.0
341,Marcus Bell,2001,DT,Memphis,73.0,319,5.32,,17.0,4.71,123.0
342,Kendrell Bell,2001,ILB,Georgia,73.0,234,4.64,38.5,24.0,4.5,39.0
343,Michael Bennett,2001,RB,Wisconsin,69.0,207,4.38,39.5,13.0,,27.0
344,Eddie Berlin,2001,WR,New Mexico,71.0,191,4.43,39.5,,4.08,159.0
345,Cory Bird,2001,SS,Virginia Tech,70.0,217,4.6,,22.0,,91.0
348,Harold Blackmon,2001,CB,Northwestern,71.0,210,4.54,37.0,17.0,4.28,210.0
349,Willie Blade,2001,DT,Mississippi St.,75.0,316,4.93,,,,93.0
351,Derrick Blaylock,2001,RB,Stephen F. Austin,70.0,194,4.36,35.5,18.0,4.09,150.0
354,Josh Booty,2001,QB,LSU,74.0,221,4.9,29.5,,4.48,172.0
356,Kyle Vanden Bosch,2001,DE,Nebraska,76.0,270,4.75,36.5,26.0,4.08,34.0
