,id,name,contract_years,total_value,gtd_start,gtd_total,year,position,height,weight,forty,vertical,bench,broad_jump,three_cone,shuttle,pick_number
177,244,Anthony Walker Jr.,4,2665413,265413,265413,2017,ILB,73,238,4.65000000,30.50000000,23.0,116.0,7.23000000,4.34000000,161.0
178,185,Alvin Kamara,4,3857772,972772,972772,2017,RB,70,214,4.56000000,39.50000000,15.0,131.0,,,67.0
179,239,Damontae Kazee,4,2688922,288922,288922,2017,CB,70,184,4.54000000,34.00000000,11.0,124.0,,,149.0
180,155,Kevin King,4,7080884,4676592,4676592,2017,CB,75,200,4.43000000,39.50000000,11.0,,6.56000000,3.89000000,33.0
181,240,Desmond King,4,2679992,279992,279992,2017,FS,70,201,,34.00000000,14.0,117.0,6.67000000,4.18000000,151.0
182,238,George Kittle,4,2698287,298287,298287,2017,TE,76,247,4.52000000,35.00000000,18.0,132.0,,,146.0
183,173,DeShone Kizer,4,4948416,2428776,2428776,2017,QB,76,233,4.83000000,30.50000000,,107.0,7.40000000,4.53000000,52.0
184,178,Tanoh Kpassagnon,4,4321222,1944126,1944126,2017,DE,79,289,4.83000000,30.00000000,23.0,128.0,7.46000000,4.62000000,59.0
185,187,Cooper Kupp,4,3831760,954760,954760,2017,WR,74,204,4.62000000,31.00000000,,116.0,6.75000000,4.08000000,69.0
186,159,Forrest Lamp,4,6666920,3756711,3756711,2017,OG,76,309,5.00000000,27.50000000,34.0,111.0,7.55000000,4.62000000,38.0
187,133,Marshon Lattimore,4,15359563,15359563,15359563,2017,CB,72,193,4.36000000,38.50000000,,132.0,,,11.0
188,218,Carl Lawson,4,3052614,652614,652614,2017,DE,74,261,4.67000000,33.00000000,35.0,114.0,7.46000000,4.19000000,116.0
189,247,Marquel Lee,4,2653693,253693,253693,2017,ILB,75,240,,31.00000000,25.0,118.0,,,168.0
190,203,Jourdan Lewis,4,3248428,753428,753428,2017,CB,70,188,4.54000000,34.50000000,15.0,121.0,,,92.0
191,251,T.J. Logan,4,2601937,201937,201937,2017,RB,69,196,4.37000000,33.50000000,17.0,121.0,,,179.0
192,235,Marlon Mack,4,2819648,419648,419648,2017,RB,71,213,4.50000000,35.50000000,15.0,125.0,,,143.0
193,132,Patrick Mahomes,4,16425786,16425786,16425786,2017,QB,74,225,4.80000000,30.00000000,,114.0,6.88000000,4.08000000,10.0
194,160,Marcus Maye,4,6554039,3669485,3669485,2017,FS,72,210,,,,,,,39.0
